participant,Finished,cluster,question,value,item
1,TRUE,0,School,value_1,"Erasmus School of History, Culture and Communication (ESHCC)"
1,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
2,TRUE,0,School,value_1,"Erasmus School of History, Culture and Communication (ESHCC)"
2,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,Reciprocity and subjectivity in research need to be stressed in relation to societal engagement in research
3,TRUE,0,School,value_1,"Erasmus School of History, Culture and Communication (ESHCC)"
3,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
4,TRUE,0,School,value_1,"Erasmus School of History, Culture and Communication (ESHCC)"
4,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,"it would be helpful to gradually learn more about it, in a lean and fun manner. Lectures and discussions forums, or very long instruction documents are not the best solution, in my opinion. Sth as the dilemma game is more appealing and a good learning tool to start with. If then people want to learn more, an online instruction video could work. Thanks for the interest."
5,TRUE,0,School,value_1,"Erasmus School of History, Culture and Communication (ESHCC)"
5,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
6,TRUE,0,School,value_1,"Erasmus School of History, Culture and Communication (ESHCC)"
6,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
7,TRUE,0,School,value_1,"Erasmus School of History, Culture and Communication (ESHCC)"
7,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
8,TRUE,0,School,value_1,"Erasmus School of History, Culture and Communication (ESHCC)"
8,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
9,TRUE,0,School,value_1,Erasmus School of Health Policy & Management (ESHPM)
9,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,"I love the idea of publicly sharing research, but find it difficult. My most academic research is conducted in my free time. How can EUR or anyone else claim my data."
10,TRUE,0,School,value_1,Erasmus School of Health Policy & Management (ESHPM)
10,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
11,TRUE,0,School,value_1,Erasmus School of Health Policy & Management (ESHPM)
11,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,NA
12,TRUE,0,School,value_1,Erasmus School of Health Policy & Management (ESHPM)
12,TRUE,8,Is there anything else you would like to mention about Open Science practices?,value_1,"I don't trust quality of papers that are published in open access journals (if you have to pay article charges). From a journal perspective it is fee for article payment, the more article the better (irrespective of the quality).."
13,TRUE,0,School,value_1,Erasmus School of Health Policy & Management (ESHPM)
